Series ID,Year,Period,Label,Value
LASMT261982000000003,2001,M01,2001 Jan,4.1
LASMT261982000000003,2001,M02,2001 Feb,4.3
LASMT261982000000003,2001,M03,2001 Mar,4.5
LASMT261982000000003,2001,M04,2001 Apr,4.6
LASMT261982000000003,2001,M05,2001 May,4.6
LASMT261982000000003,2001,M06,2001 Jun,4.7
LASMT261982000000003,2001,M07,2001 Jul,4.8
LASMT261982000000003,2001,M08,2001 Aug,5.1
LASMT261982000000003,2001,M09,2001 Sep,5.4
LASMT261982000000003,2001,M10,2001 Oct,5.7
LASMT261982000000003,2001,M11,2001 Nov,6.0
LASMT261982000000003,2001,M12,2001 Dec,6.2
LASMT261982000000003,2002,M01,2002 Jan,6.3
LASMT261982000000003,2002,M02,2002 Feb,6.3
LASMT261982000000003,2002,M03,2002 Mar,6.4
LASMT261982000000003,2002,M04,2002 Apr,6.4
LASMT261982000000003,2002,M05,2002 May,6.4
LASMT261982000000003,2002,M06,2002 Jun,6.3
LASMT261982000000003,2002,M07,2002 Jul,6.2
LASMT261982000000003,2002,M08,2002 Aug,6.2
LASMT261982000000003,2002,M09,2002 Sep,6.1
LASMT261982000000003,2002,M10,2002 Oct,6.2
LASMT261982000000003,2002,M11,2002 Nov,6.3
LASMT261982000000003,2002,M12,2002 Dec,6.5
LASMT261982000000003,2003,M01,2003 Jan,6.8
LASMT261982000000003,2003,M02,2003 Feb,7.0
LASMT261982000000003,2003,M03,2003 Mar,7.2
LASMT261982000000003,2003,M04,2003 Apr,7.4
LASMT261982000000003,2003,M05,2003 May,7.5
LASMT261982000000003,2003,M06,2003 Jun,7.6
LASMT261982000000003,2003,M07,2003 Jul,7.6
LASMT261982000000003,2003,M08,2003 Aug,7.5
LASMT261982000000003,2003,M09,2003 Sep,7.4
LASMT261982000000003,2003,M10,2003 Oct,7.2
LASMT261982000000003,2003,M11,2003 Nov,7.0
LASMT261982000000003,2003,M12,2003 Dec,6.8
LASMT261982000000003,2004,M01,2004 Jan,6.8
LASMT261982000000003,2004,M02,2004 Feb,6.8
LASMT261982000000003,2004,M03,2004 Mar,6.8
LASMT261982000000003,2004,M04,2004 Apr,6.9
LASMT261982000000003,2004,M05,2004 May,7.1
LASMT261982000000003,2004,M06,2004 Jun,7.2
LASMT261982000000003,2004,M07,2004 Jul,7.3
LASMT261982000000003,2004,M08,2004 Aug,7.4
LASMT261982000000003,2004,M09,2004 Sep,7.5
LASMT261982000000003,2004,M10,2004 Oct,7.5
LASMT261982000000003,2004,M11,2004 Nov,7.6
LASMT261982000000003,2004,M12,2004 Dec,7.6
LASMT261982000000003,2005,M01,2005 Jan,7.6
LASMT261982000000003,2005,M02,2005 Feb,7.5
LASMT261982000000003,2005,M03,2005 Mar,7.4
LASMT261982000000003,2005,M04,2005 Apr,7.2
LASMT261982000000003,2005,M05,2005 May,7.1
LASMT261982000000003,2005,M06,2005 Jun,6.9
LASMT261982000000003,2005,M07,2005 Jul,6.7
LASMT261982000000003,2005,M08,2005 Aug,6.6
LASMT261982000000003,2005,M09,2005 Sep,6.6
LASMT261982000000003,2005,M10,2005 Oct,6.6
LASMT261982000000003,2005,M11,2005 Nov,6.7
LASMT261982000000003,2005,M12,2005 Dec,6.8
LASMT261982000000003,2006,M01,2006 Jan,6.9
LASMT261982000000003,2006,M02,2006 Feb,6.9
LASMT261982000000003,2006,M03,2006 Mar,7.0
LASMT261982000000003,2006,M04,2006 Apr,7.0
LASMT261982000000003,2006,M05,2006 May,7.0
LASMT261982000000003,2006,M06,2006 Jun,7.1
LASMT261982000000003,2006,M07,2006 Jul,7.2
LASMT261982000000003,2006,M08,2006 Aug,7.2
LASMT261982000000003,2006,M09,2006 Sep,7.3
LASMT261982000000003,2006,M10,2006 Oct,7.3
LASMT261982000000003,2006,M11,2006 Nov,7.2
LASMT261982000000003,2006,M12,2006 Dec,7.1
LASMT261982000000003,2007,M01,2007 Jan,7.0
LASMT261982000000003,2007,M02,2007 Feb,6.9
LASMT261982000000003,2007,M03,2007 Mar,6.9
LASMT261982000000003,2007,M04,2007 Apr,6.9
LASMT261982000000003,2007,M05,2007 May,6.9
LASMT261982000000003,2007,M06,2007 Jun,7.0
LASMT261982000000003,2007,M07,2007 Jul,7.2
LASMT261982000000003,2007,M08,2007 Aug,7.3
LASMT261982000000003,2007,M09,2007 Sep,7.4
LASMT261982000000003,2007,M10,2007 Oct,7.5
LASMT261982000000003,2007,M11,2007 Nov,7.4
LASMT261982000000003,2007,M12,2007 Dec,7.4
LASMT261982000000003,2008,M01,2008 Jan,7.3
LASMT261982000000003,2008,M02,2008 Feb,7.2
LASMT261982000000003,2008,M03,2008 Mar,7.3
LASMT261982000000003,2008,M04,2008 Apr,7.5
LASMT261982000000003,2008,M05,2008 May,7.7
LASMT261982000000003,2008,M06,2008 Jun,7.9
LASMT261982000000003,2008,M07,2008 Jul,8.2
LASMT261982000000003,2008,M08,2008 Aug,8.4
LASMT261982000000003,2008,M09,2008 Sep,8.7
LASMT261982000000003,2008,M10,2008 Oct,9.1
LASMT261982000000003,2008,M11,2008 Nov,9.7
LASMT261982000000003,2008,M12,2008 Dec,10.3
LASMT261982000000003,2009,M01,2009 Jan,11.7
LASMT261982000000003,2009,M02,2009 Feb,12.9
LASMT261982000000003,2009,M03,2009 Mar,14.0
LASMT261982000000003,2009,M04,2009 Apr,15.0
LASMT261982000000003,2009,M05,2009 May,15.7
LASMT261982000000003,2009,M06,2009 Jun,16.4
LASMT261982000000003,2009,M07,2009 Jul,16.2
LASMT261982000000003,2009,M08,2009 Aug,16.1
LASMT261982000000003,2009,M09,2009 Sep,15.9
LASMT261982000000003,2009,M10,2009 Oct,15.7
LASMT261982000000003,2009,M11,2009 Nov,15.5
LASMT261982000000003,2009,M12,2009 Dec,15.4
LASMT261982000000003,2010,M01,2010 Jan,15.3
LASMT261982000000003,2010,M02,2010 Feb,15.1
LASMT261982000000003,2010,M03,2010 Mar,14.9
LASMT261982000000003,2010,M04,2010 Apr,14.6
LASMT261982000000003,2010,M05,2010 May,14.3
LASMT261982000000003,2010,M06,2010 Jun,13.9
LASMT261982000000003,2010,M07,2010 Jul,13.6
LASMT261982000000003,2010,M08,2010 Aug,13.4
LASMT261982000000003,2010,M09,2010 Sep,13.2
LASMT261982000000003,2010,M10,2010 Oct,12.9
LASMT261982000000003,2010,M11,2010 Nov,12.7
LASMT261982000000003,2010,M12,2010 Dec,12.3
LASMT261982000000003,2011,M01,2011 Jan,12.0
LASMT261982000000003,2011,M02,2011 Feb,11.8
LASMT261982000000003,2011,M03,2011 Mar,11.7
LASMT261982000000003,2011,M04,2011 Apr,11.7
LASMT261982000000003,2011,M05,2011 May,11.7
LASMT261982000000003,2011,M06,2011 Jun,11.7
LASMT261982000000003,2011,M07,2011 Jul,11.6
LASMT261982000000003,2011,M08,2011 Aug,11.4
LASMT261982000000003,2011,M09,2011 Sep,11.2
LASMT261982000000003,2011,M10,2011 Oct,10.8
LASMT261982000000003,2011,M11,2011 Nov,10.5
LASMT261982000000003,2011,M12,2011 Dec,10.3
LASMT261982000000003,2012,M01,2012 Jan,10.1
LASMT261982000000003,2012,M02,2012 Feb,10.0
LASMT261982000000003,2012,M03,2012 Mar,10.0
LASMT261982000000003,2012,M04,2012 Apr,10.1
LASMT261982000000003,2012,M05,2012 May,10.1
LASMT261982000000003,2012,M06,2012 Jun,10.2
LASMT261982000000003,2012,M07,2012 Jul,10.1
LASMT261982000000003,2012,M08,2012 Aug,10.1
LASMT261982000000003,2012,M09,2012 Sep,10.1
LASMT261982000000003,2012,M10,2012 Oct,10.1
LASMT261982000000003,2012,M11,2012 Nov,10.1
LASMT261982000000003,2012,M12,2012 Dec,10.1
LASMT261982000000003,2013,M01,2013 Jan,10.1
LASMT261982000000003,2013,M02,2013 Feb,10.0
LASMT261982000000003,2013,M03,2013 Mar,9.9
LASMT261982000000003,2013,M04,2013 Apr,9.8
LASMT261982000000003,2013,M05,2013 May,9.8
LASMT261982000000003,2013,M06,2013 Jun,9.7
LASMT261982000000003,2013,M07,2013 Jul,9.8
LASMT261982000000003,2013,M08,2013 Aug,9.7
LASMT261982000000003,2013,M09,2013 Sep,9.7
LASMT261982000000003,2013,M10,2013 Oct,9.5
LASMT261982000000003,2013,M11,2013 Nov,9.4
